id,image_id,category_id,segmentation,area,bbox,iscrowd
32,9,214.0,[],23100.0,"[3.0, 405.0, 275.0, 84.0]",0
33,9,1.0,[],32220.0,"[950.0, 341.0, 179.0, 180.0]",0
34,10,1.0,[],1482.0,"[602.0, 271.0, 38.0, 39.0]",0
35,10,224.0,[],3216.0,"[450.0, 247.0, 48.0, 67.0]",0
36,11,1.0,[],2730.0,"[28.0, 266.0, 65.0, 42.0]",0
37,11,160.0,[],5184.0,"[390.0, 242.0, 81.0, 64.0]",0
38,12,146.0,[],221.0,"[347.0, 143.0, 17.0, 13.0]",0
39,12,52.0,[],289.0,"[324.0, 109.0, 17.0, 17.0]",0
40,12,119.0,[],575.0,"[333.0, 175.0, 23.0, 25.0]",0
41,12,146.0,[],460.0,"[398.0, 72.0, 23.0, 20.0]",0
42,12,146.0,[],330.0,"[232.0, 86.0, 22.0, 15.0]",0
43,12,146.0,[],494.0,"[377.0, 43.0, 26.0, 19.0]",0
44,12,1.0,[],441.0,"[633.0, 200.0, 21.0, 21.0]",0
45,12,146.0,[],525.0,"[179.0, 253.0, 25.0, 21.0]",0
46,12,146.0,[],391.0,"[307.0, 142.0, 23.0, 17.0]",0
47,12,146.0,[],208.0,"[320.0, 159.0, 16.0, 13.0]",0
48,12,146.0,[],315.0,"[328.0, 29.0, 21.0, 15.0]",0
49,12,146.0,[],330.0,"[697.0, 217.0, 22.0, 15.0]",0
50,12,146.0,[],550.0,"[507.0, 344.0, 25.0, 22.0]",0
51,13,146.0,[],1722.0,"[13.0, 258.0, 42.0, 41.0]",0
52,13,160.0,[],1054.0,"[318.0, 202.0, 34.0, 31.0]",0
53,13,1.0,[],1476.0,"[348.0, 246.0, 36.0, 41.0]",0
54,14,160.0,[],1085.0,"[365.0, 183.0, 31.0, 35.0]",0
55,14,160.0,[],884.0,"[170.0, 142.0, 34.0, 26.0]",0
56,14,1.0,[],754.0,"[536.0, 156.0, 29.0, 26.0]",0
57,15,1.0,[],1862.0,"[148.0, 204.0, 49.0, 38.0]",0
58,15,160.0,[],1188.0,"[381.0, 270.0, 36.0, 33.0]",0
59,16,52.0,[],945.0,"[339.0, 293.0, 27.0, 35.0]",0
60,16,1.0,[],198.0,"[268.0, 181.0, 18.0, 11.0]",0
61,16,228.0,[],736.0,"[295.0, 307.0, 32.0, 23.0]",0
62,16,242.0,[],2310.0,"[261.0, 241.0, 55.0, 42.0]",0
63,16,219.0,[],646.0,"[365.0, 220.0, 34.0, 19.0]",0
64,16,219.0,[],658.0,"[587.0, 252.0, 47.0, 14.0]",0
65,16,219.0,[],700.0,"[569.0, 295.0, 50.0, 14.0]",0
66,16,219.0,[],817.0,"[402.0, 271.0, 43.0, 19.0]",0
67,16,219.0,[],576.0,"[482.0, 293.0, 48.0, 12.0]",0
68,16,219.0,[],560.0,"[524.0, 194.0, 28.0, 20.0]",0
69,17,218.0,[],189.0,"[524.0, 336.0, 27.0, 7.0]",0
70,17,218.0,[],816.0,"[151.0, 201.0, 34.0, 24.0]",0
71,17,218.0,[],403.0,"[291.0, 325.0, 31.0, 13.0]",0
72,17,100.0,[],806.0,"[408.0, 291.0, 31.0, 26.0]",0
73,17,218.0,[],210.0,"[189.0, 260.0, 21.0, 10.0]",0
74,17,218.0,[],294.0,"[180.0, 291.0, 21.0, 14.0]",0
75,17,1.0,[],168.0,"[376.0, 245.0, 14.0, 12.0]",0
76,17,218.0,[],216.0,"[285.0, 227.0, 18.0, 12.0]",0
77,17,99.0,[],308.0,"[244.0, 318.0, 22.0, 14.0]",0
78,17,218.0,[],532.0,"[421.0, 322.0, 38.0, 14.0]",0
79,17,218.0,[],374.0,"[457.0, 248.0, 22.0, 17.0]",0
80,17,52.0,[],512.0,"[307.0, 270.0, 32.0, 16.0]",0
81,17,218.0,[],432.0,"[219.0, 336.0, 36.0, 12.0]",0
82,18,119.0,[],888.0,"[585.0, 59.0, 37.0, 24.0]",0
83,18,9.0,[],1632.0,"[2.0, 42.0, 34.0, 48.0]",0
84,18,131.0,[],1000.0,"[564.0, 88.0, 40.0, 25.0]",0
85,18,119.0,[],648.0,"[451.0, 43.0, 36.0, 18.0]",0
86,18,119.0,[],714.0,"[443.0, 86.0, 34.0, 21.0]",0
87,18,119.0,[],1581.0,"[470.0, 158.0, 51.0, 31.0]",0
88,18,119.0,[],984.0,"[612.0, 88.0, 41.0, 24.0]",0
89,18,119.0,[],960.0,"[110.0, 48.0, 40.0, 24.0]",0
90,18,119.0,[],1170.0,"[682.0, 245.0, 30.0, 39.0]",0
91,18,1.0,[],440.0,"[651.0, 154.0, 22.0, 20.0]",0
92,19,9.0,[],1850.0,"[444.0, 325.0, 50.0, 37.0]",0
93,19,1.0,[],306.0,"[367.0, 350.0, 17.0, 18.0]",0
94,20,1.0,[],345.0,"[35.0, 236.0, 23.0, 15.0]",0
95,20,9.0,[],1221.0,"[388.0, 263.0, 37.0, 33.0]",0
96,20,9.0,[],576.0,"[356.0, 220.0, 24.0, 24.0]",0
97,20,9.0,[],600.0,"[341.0, 200.0, 25.0, 24.0]",0
98,20,160.0,[],224.0,"[566.0, 268.0, 16.0, 14.0]",0
99,20,1.0,[],238.0,"[315.0, 284.0, 17.0, 14.0]",0
100,21,1.0,[],520.0,"[3.0, 318.0, 20.0, 26.0]",0
101,21,211.0,[],756.0,"[343.0, 283.0, 27.0, 28.0]",0
102,21,88.0,[],150.0,"[379.0, 187.0, 15.0, 10.0]",0
103,21,51.0,[],544.0,"[456.0, 83.0, 32.0, 17.0]",0
104,21,51.0,[],1431.0,"[359.0, 290.0, 53.0, 27.0]",0
105,21,9.0,[],408.0,"[549.0, 192.0, 24.0, 17.0]",0
106,21,9.0,[],462.0,"[352.0, 95.0, 22.0, 21.0]",0
107,21,1.0,[],285.0,"[50.0, 289.0, 19.0, 15.0]",0
108,21,9.0,[],1221.0,"[436.0, 127.0, 37.0, 33.0]",0
109,21,9.0,[],792.0,"[588.0, 193.0, 33.0, 24.0]",0
110,21,119.0,[],234.0,"[509.0, 178.0, 18.0, 13.0]",0
111,22,51.0,[],702.0,"[313.0, 211.0, 27.0, 26.0]",0
112,22,1.0,[],320.0,"[8.0, 226.0, 20.0, 16.0]",0
113,22,51.0,[],540.0,"[270.0, 241.0, 36.0, 15.0]",0
114,22,160.0,[],306.0,"[564.0, 318.0, 18.0, 17.0]",0
115,22,160.0,[],144.0,"[592.0, 208.0, 12.0, 12.0]",0
116,22,9.0,[],1292.0,"[450.0, 263.0, 38.0, 34.0]",0
117,22,100.0,[],486.0,"[202.0, 226.0, 27.0, 18.0]",0
118,22,51.0,[],688.0,"[268.0, 174.0, 43.0, 16.0]",0
119,23,160.0,[],195.0,"[548.0, 220.0, 15.0, 13.0]",0
120,23,52.0,[],644.0,"[220.0, 194.0, 28.0, 23.0]",0
121,23,1.0,[],208.0,"[580.0, 197.0, 13.0, 16.0]",0
122,23,37.0,[],1443.0,"[392.0, 195.0, 37.0, 39.0]",0
123,24,160.0,[],156.0,"[541.0, 326.0, 13.0, 12.0]",0
124,24,160.0,[],208.0,"[652.0, 327.0, 16.0, 13.0]",0
125,24,160.0,[],120.0,"[166.0, 288.0, 12.0, 10.0]",0
126,24,160.0,[],110.0,"[364.0, 268.0, 11.0, 10.0]",0
127,24,1.0,[],238.0,"[333.0, 191.0, 17.0, 14.0]",0
128,24,160.0,[],130.0,"[377.0, 252.0, 13.0, 10.0]",0
129,24,160.0,[],121.0,"[560.0, 262.0, 11.0, 11.0]",0
130,25,224.0,[],348.0,"[355.0, 134.0, 12.0, 29.0]",0
131,25,7.0,[],144.0,"[293.0, 303.0, 12.0, 12.0]",0
132,25,7.0,[],208.0,"[287.0, 284.0, 13.0, 16.0]",0
133,25,1.0,[],156.0,"[269.0, 301.0, 13.0, 12.0]",0
134,25,1.0,[],224.0,"[249.0, 303.0, 16.0, 14.0]",0
135,25,242.0,[],1120.0,"[326.0, 183.0, 35.0, 32.0]",0
136,25,108.0,[],432.0,"[532.0, 193.0, 27.0, 16.0]",0
137,25,242.0,[],1634.0,"[561.0, 185.0, 43.0, 38.0]",0
138,26,1.0,[],3000.0,"[954.0, 851.0, 60.0, 50.0]",0
139,27,1.0,[],286.0,"[359.0, 312.0, 22.0, 13.0]",0
140,27,52.0,[],350.0,"[469.0, 300.0, 25.0, 14.0]",0
141,28,160.0,[],588.0,"[290.0, 141.0, 28.0, 21.0]",0
142,28,1.0,[],1872.0,"[380.0, 80.0, 52.0, 36.0]",0
143,28,1.0,[],1850.0,"[391.0, 45.0, 50.0, 37.0]",0
144,28,1.0,[],1645.0,"[400.0, 105.0, 47.0, 35.0]",0
145,28,160.0,[],1008.0,"[421.0, 149.0, 36.0, 28.0]",0
146,28,160.0,[],589.0,"[324.0, 106.0, 31.0, 19.0]",0
147,29,160.0,[],748.0,"[606.0, 260.0, 34.0, 22.0]",0
148,29,1.0,[],1734.0,"[580.0, 149.0, 51.0, 34.0]",0
149,29,160.0,[],459.0,"[322.0, 162.0, 27.0, 17.0]",0
150,29,160.0,[],792.0,"[471.0, 244.0, 36.0, 22.0]",0
151,29,160.0,[],494.0,"[479.0, 216.0, 26.0, 19.0]",0
152,29,1.0,[],1680.0,"[429.0, 115.0, 48.0, 35.0]",0
153,29,160.0,[],600.0,"[510.0, 209.0, 30.0, 20.0]",0
154,30,160.0,[],782.0,"[386.0, 187.0, 34.0, 23.0]",0
155,30,160.0,[],408.0,"[538.0, 282.0, 24.0, 17.0]",0
156,30,160.0,[],442.0,"[522.0, 169.0, 26.0, 17.0]",0
157,30,160.0,[],384.0,"[575.0, 248.0, 24.0, 16.0]",0
158,30,1.0,[],1820.0,"[643.0, 191.0, 52.0, 35.0]",0
159,30,160.0,[],609.0,"[669.0, 305.0, 29.0, 21.0]",0
160,31,160.0,[],2200.0,"[195.0, 289.0, 55.0, 40.0]",0
161,31,160.0,[],1518.0,"[26.0, 295.0, 46.0, 33.0]",0
162,31,160.0,[],1204.0,"[303.0, 125.0, 43.0, 28.0]",0
163,31,82.0,[],285.0,"[163.0, 45.0, 15.0, 19.0]",0
164,31,1.0,[],4366.0,"[394.0, 128.0, 74.0, 59.0]",0
165,31,82.0,[],425.0,"[152.0, 70.0, 17.0, 25.0]",0
166,31,160.0,[],1408.0,"[491.0, 141.0, 44.0, 32.0]",0
167,31,160.0,[],1364.0,"[302.0, 312.0, 44.0, 31.0]",0
168,31,160.0,[],1927.0,"[522.0, 314.0, 47.0, 41.0]",0
169,31,1.0,[],5696.0,"[377.0, 159.0, 89.0, 64.0]",0
170,31,160.0,[],1305.0,"[223.0, 85.0, 45.0, 29.0]",0
171,32,160.0,[],1720.0,"[486.0, 229.0, 43.0, 40.0]",0
172,32,160.0,[],2068.0,"[27.0, 57.0, 47.0, 44.0]",0
173,32,1.0,[],5180.0,"[385.0, 216.0, 74.0, 70.0]",0
174,32,160.0,[],2255.0,"[288.0, 209.0, 55.0, 41.0]",0
175,32,82.0,[],594.0,"[145.0, 121.0, 22.0, 27.0]",0
176,32,160.0,[],1927.0,"[212.0, 166.0, 47.0, 41.0]",0
177,33,160.0,[],2948.0,"[339.0, 220.0, 67.0, 44.0]",0
178,33,160.0,[],2072.0,"[545.0, 79.0, 56.0, 37.0]",0
179,33,1.0,[],8880.0,"[595.0, 28.0, 111.0, 80.0]",0
180,33,1.0,[],9265.0,"[604.0, 77.0, 109.0, 85.0]",0
181,33,1.0,[],7308.0,"[578.0, 2.0, 116.0, 63.0]",0
182,33,160.0,[],2457.0,"[537.0, 190.0, 63.0, 39.0]",0
183,33,160.0,[],2838.0,"[300.0, 117.0, 66.0, 43.0]",0
184,34,160.0,[],792.0,"[413.0, 54.0, 36.0, 22.0]",0
185,34,1.0,[],5829.0,"[381.0, 91.0, 87.0, 67.0]",0
186,34,160.0,[],1350.0,"[585.0, 47.0, 45.0, 30.0]",0
187,34,1.0,[],6674.0,"[371.0, 123.0, 94.0, 71.0]",0
188,34,1.0,[],5896.0,"[361.0, 187.0, 88.0, 67.0]",0
189,34,160.0,[],2080.0,"[67.0, 237.0, 52.0, 40.0]",0
190,34,160.0,[],2280.0,"[331.0, 325.0, 60.0, 38.0]",0
191,34,1.0,[],6675.0,"[357.0, 205.0, 89.0, 75.0]",0
192,34,160.0,[],2296.0,"[4.0, 116.0, 56.0, 41.0]",0
193,34,160.0,[],1221.0,"[235.0, 100.0, 37.0, 33.0]",0
194,35,1.0,[],483.0,"[232.0, 275.0, 23.0, 21.0]",0
195,35,160.0,[],725.0,"[379.0, 224.0, 29.0, 25.0]",0
196,36,211.0,[],980.0,"[244.0, 328.0, 35.0, 28.0]",0
197,36,51.0,[],364.0,"[414.0, 280.0, 13.0, 28.0]",0
198,36,1.0,[],210.0,"[379.0, 223.0, 15.0, 14.0]",0
199,36,1.0,[],324.0,"[456.0, 258.0, 18.0, 18.0]",0
200,37,160.0,[],228.0,"[352.0, 190.0, 19.0, 12.0]",0
201,37,1.0,[],1406.0,"[565.0, 296.0, 38.0, 37.0]",0
202,37,52.0,[],437.0,"[581.0, 146.0, 23.0, 19.0]",0
203,38,160.0,[],4047.0,"[574.0, 285.0, 71.0, 57.0]",0
204,38,1.0,[],378.0,"[443.0, 143.0, 21.0, 18.0]",0
205,38,88.0,[],616.0,"[201.0, 58.0, 28.0, 22.0]",0
206,39,1.0,[],650.0,"[448.0, 40.0, 26.0, 25.0]",0
207,39,146.0,[],1120.0,"[532.0, 95.0, 40.0, 28.0]",0
208,39,146.0,[],1178.0,"[494.0, 126.0, 38.0, 31.0]",0
209,39,1.0,[],690.0,"[481.0, 5.0, 30.0, 23.0]",0
210,40,160.0,[],850.0,"[296.0, 151.0, 34.0, 25.0]",0
211,40,1.0,[],437.0,"[248.0, 331.0, 23.0, 19.0]",0
212,41,52.0,[],7548.0,"[564.0, 712.0, 68.0, 111.0]",0
213,41,1.0,[],806.0,"[597.0, 235.0, 26.0, 31.0]",0
214,41,1.0,[],2242.0,"[834.0, 264.0, 59.0, 38.0]",0
215,41,142.0,[],2240.0,"[1023.0, 631.0, 70.0, 32.0]",0
216,41,52.0,[],5616.0,"[826.0, 88.0, 104.0, 54.0]",0
217,42,52.0,[],17442.0,"[645.0, 44.0, 153.0, 114.0]",0
218,42,202.0,[],9288.0,"[508.0, 743.0, 108.0, 86.0]",0
219,42,1.0,[],15120.0,"[131.0, 890.0, 126.0, 120.0]",0
220,42,229.0,[],1344.0,"[777.0, 887.0, 32.0, 42.0]",0
221,42,146.0,[],16268.0,"[156.0, 978.0, 166.0, 98.0]",0
222,43,1.0,[],3480.0,"[895.0, 270.0, 58.0, 60.0]",0
223,43,1.0,[],837.0,"[1164.0, 420.0, 27.0, 31.0]",0
224,43,146.0,[],3380.0,"[1738.0, 596.0, 65.0, 52.0]",0
225,43,146.0,[],2750.0,"[563.0, 391.0, 55.0, 50.0]",0
226,43,1.0,[],2632.0,"[1583.0, 363.0, 56.0, 47.0]",0
227,43,146.0,[],2585.0,"[980.0, 439.0, 55.0, 47.0]",0
228,43,88.0,[],729.0,"[1055.0, 660.0, 27.0, 27.0]",0
229,43,1.0,[],1216.0,"[836.0, 306.0, 38.0, 32.0]",0
230,43,1.0,[],1845.0,"[1330.0, 266.0, 41.0, 45.0]",0
231,43,1.0,[],1312.0,"[1086.0, 381.0, 32.0, 41.0]",0
232,43,146.0,[],2068.0,"[1224.0, 520.0, 47.0, 44.0]",0
233,43,146.0,[],2392.0,"[435.0, 683.0, 46.0, 52.0]",0
234,43,211.0,[],3422.0,"[1560.0, 603.0, 58.0, 59.0]",0
235,43,1.0,[],2550.0,"[806.0, 388.0, 51.0, 50.0]",0
236,43,1.0,[],21504.0,"[238.0, 313.0, 128.0, 168.0]",0
237,43,146.0,[],3844.0,"[696.0, 432.0, 62.0, 62.0]",0
238,43,146.0,[],3127.0,"[1529.0, 861.0, 59.0, 53.0]",0
239,44,211.0,[],11543.0,"[548.0, 644.0, 119.0, 97.0]",0
240,44,211.0,[],5796.0,"[549.0, 602.0, 84.0, 69.0]",0
241,44,52.0,[],5840.0,"[428.0, 553.0, 80.0, 73.0]",0
242,44,211.0,[],9393.0,"[634.0, 715.0, 93.0, 101.0]",0
243,44,211.0,[],9282.0,"[761.0, 476.0, 91.0, 102.0]",0
244,44,211.0,[],9555.0,"[533.0, 727.0, 91.0, 105.0]",0
245,44,125.0,[],7820.0,"[1237.0, 702.0, 85.0, 92.0]",0
246,44,211.0,[],11050.0,"[1220.0, 810.0, 85.0, 130.0]",0
247,44,211.0,[],4818.0,"[1226.0, 647.0, 73.0, 66.0]",0
248,44,52.0,[],2046.0,"[1304.0, 703.0, 33.0, 62.0]",0
249,44,1.0,[],7569.0,"[850.0, 845.0, 87.0, 87.0]",0
250,44,88.0,[],6840.0,"[665.0, 582.0, 76.0, 90.0]",0
251,44,174.0,[],2340.0,"[628.0, 590.0, 52.0, 45.0]",0
252,44,211.0,[],5840.0,"[664.0, 484.0, 73.0, 80.0]",0
253,45,116.0,[],10070.0,"[895.0, 202.0, 106.0, 95.0]",0
254,45,160.0,[],702.0,"[726.0, 229.0, 27.0, 26.0]",0
255,45,1.0,[],3869.0,"[420.0, 3.0, 73.0, 53.0]",0
256,45,160.0,[],575.0,"[813.0, 628.0, 23.0, 25.0]",0
257,45,160.0,[],1156.0,"[729.0, 798.0, 34.0, 34.0]",0
258,46,211.0,[],3192.0,"[1455.0, 198.0, 56.0, 57.0]",0
259,46,52.0,[],57624.0,"[434.0, 584.0, 168.0, 343.0]",0
260,46,1.0,[],3519.0,"[399.0, 946.0, 69.0, 51.0]",0
261,46,146.0,[],2664.0,"[411.0, 868.0, 72.0, 37.0]",0
262,46,52.0,[],21106.0,"[1580.0, 716.0, 122.0, 173.0]",0
263,47,1.0,[],4620.0,"[1222.0, 583.0, 70.0, 66.0]",0
264,48,1.0,[],728.0,"[390.0, 87.0, 28.0, 26.0]",0
265,48,160.0,[],416.0,"[87.0, 171.0, 26.0, 16.0]",0
266,48,160.0,[],330.0,"[479.0, 109.0, 22.0, 15.0]",0
267,48,160.0,[],384.0,"[5.0, 180.0, 24.0, 16.0]",0
268,48,160.0,[],380.0,"[207.0, 161.0, 20.0, 19.0]",0
269,48,160.0,[],266.0,"[399.0, 146.0, 19.0, 14.0]",0
270,48,160.0,[],330.0,"[350.0, 109.0, 22.0, 15.0]",0
271,48,160.0,[],494.0,"[130.0, 230.0, 26.0, 19.0]",0
272,48,160.0,[],360.0,"[424.0, 115.0, 24.0, 15.0]",0
273,48,160.0,[],266.0,"[192.0, 144.0, 19.0, 14.0]",0
274,48,160.0,[],224.0,"[243.0, 138.0, 16.0, 14.0]",0
275,49,160.0,[],432.0,"[638.0, 88.0, 24.0, 18.0]",0
276,49,160.0,[],408.0,"[412.0, 63.0, 24.0, 17.0]",0
277,49,160.0,[],450.0,"[154.0, 126.0, 25.0, 18.0]",0
278,49,160.0,[],323.0,"[433.0, 23.0, 19.0, 17.0]",0
279,49,160.0,[],315.0,"[382.0, 101.0, 21.0, 15.0]",0
280,49,1.0,[],1155.0,"[369.0, 32.0, 35.0, 33.0]",0
281,49,160.0,[],368.0,"[404.0, 36.0, 23.0, 16.0]",0
282,49,160.0,[],651.0,"[63.0, 206.0, 31.0, 21.0]",0
283,49,160.0,[],475.0,"[324.0, 55.0, 25.0, 19.0]",0
284,49,160.0,[],384.0,"[193.0, 95.0, 24.0, 16.0]",0
285,50,160.0,[],864.0,"[262.0, 215.0, 36.0, 24.0]",0
286,50,160.0,[],648.0,"[8.0, 143.0, 36.0, 18.0]",0
287,50,160.0,[],1032.0,"[97.0, 196.0, 43.0, 24.0]",0
288,50,160.0,[],1410.0,"[125.0, 262.0, 47.0, 30.0]",0
289,50,160.0,[],646.0,"[49.0, 169.0, 34.0, 19.0]",0
290,50,1.0,[],3009.0,"[203.0, 214.0, 59.0, 51.0]",0
291,51,1.0,[],1085.0,"[247.0, 177.0, 35.0, 31.0]",0
292,51,160.0,[],609.0,"[194.0, 205.0, 29.0, 21.0]",0
293,51,160.0,[],580.0,"[114.0, 126.0, 29.0, 20.0]",0
294,52,160.0,[],468.0,"[150.0, 153.0, 26.0, 18.0]",0
295,52,160.0,[],522.0,"[128.0, 142.0, 29.0, 18.0]",0
296,52,1.0,[],1470.0,"[524.0, 231.0, 49.0, 30.0]",0
297,52,160.0,[],836.0,"[14.0, 191.0, 38.0, 22.0]",0
298,53,160.0,[],4275.0,"[972.0, 283.0, 75.0, 57.0]",0
299,53,12.0,[],20125.0,"[1628.0, 617.0, 175.0, 115.0]",0
300,53,52.0,[],12305.0,"[874.0, 180.0, 107.0, 115.0]",0
301,53,16.0,[],19599.0,"[1780.0, 453.0, 139.0, 141.0]",0
302,53,52.0,[],8568.0,"[294.0, 114.0, 119.0, 72.0]",0
303,53,52.0,[],5764.0,"[264.0, 521.0, 131.0, 44.0]",0
304,53,1.0,[],2808.0,"[930.0, 811.0, 52.0, 54.0]",0
305,53,52.0,[],5063.0,"[1175.0, 21.0, 83.0, 61.0]",0
306,53,52.0,[],3685.0,"[1253.0, 71.0, 55.0, 67.0]",0
307,53,16.0,[],14450.0,"[841.0, 465.0, 170.0, 85.0]",0
308,54,1.0,[],2806.0,"[250.0, 156.0, 61.0, 46.0]",0
309,54,119.0,[],2700.0,"[1168.0, 834.0, 60.0, 45.0]",0
310,54,119.0,[],11413.0,"[869.0, 399.0, 113.0, 101.0]",0
311,54,119.0,[],2058.0,"[1178.0, 834.0, 49.0, 42.0]",0
312,54,51.0,[],7973.0,"[820.0, 268.0, 67.0, 119.0]",0
313,55,160.0,[],6461.0,"[95.0, 222.0, 91.0, 71.0]",0
314,55,160.0,[],4380.0,"[162.0, 31.0, 73.0, 60.0]",0
315,55,1.0,[],1224.0,"[902.0, 884.0, 34.0, 36.0]",0
316,55,1.0,[],1184.0,"[917.0, 864.0, 32.0, 37.0]",0
317,55,88.0,[],1968.0,"[1173.0, 410.0, 41.0, 48.0]",0
318,55,119.0,[],29760.0,"[983.0, 837.0, 186.0, 160.0]",0
319,55,119.0,[],46725.0,"[1649.0, 901.0, 267.0, 175.0]",0
320,56,105.0,[],5632.0,"[543.0, 523.0, 88.0, 64.0]",0
321,56,1.0,[],9118.0,"[1715.0, 1.0, 94.0, 97.0]",0
322,56,37.0,[],38948.0,"[987.0, 556.0, 182.0, 214.0]",0
323,56,105.0,[],4928.0,"[264.0, 351.0, 77.0, 64.0]",0
324,56,119.0,[],7600.0,"[1804.0, 0.0, 95.0, 80.0]",0
325,56,105.0,[],5265.0,"[423.0, 394.0, 81.0, 65.0]",0
326,57,1.0,[],18522.0,"[1124.0, 0.0, 147.0, 126.0]",0
327,58,70.0,[],58045.0,"[137.0, 608.0, 247.0, 235.0]",0
328,58,1.0,[],8835.0,"[1396.0, 506.0, 93.0, 95.0]",0
329,58,105.0,[],8265.0,"[1299.0, 886.0, 95.0, 87.0]",0
330,59,160.0,[],16348.0,"[1215.0, 222.0, 134.0, 122.0]",0
331,59,1.0,[],30267.0,"[1245.0, 444.0, 177.0, 171.0]",0
332,60,105.0,[],3776.0,"[982.0, 709.0, 64.0, 59.0]",0
333,60,146.0,[],4964.0,"[1505.0, 540.0, 73.0, 68.0]",0
334,60,1.0,[],10488.0,"[256.0, 689.0, 114.0, 92.0]",0
335,60,105.0,[],10640.0,"[17.0, 277.0, 112.0, 95.0]",0
336,60,1.0,[],16864.0,"[785.0, 368.0, 136.0, 124.0]",0
337,60,105.0,[],2652.0,"[765.0, 345.0, 52.0, 51.0]",0
338,60,1.0,[],23562.0,"[1463.0, 599.0, 154.0, 153.0]",0
339,61,224.0,[],1953.0,"[1026.0, 464.0, 31.0, 63.0]",0
340,61,1.0,[],1833.0,"[606.0, 505.0, 47.0, 39.0]",0
341,61,224.0,[],2808.0,"[631.0, 565.0, 52.0, 54.0]",0
342,61,219.0,[],6380.0,"[1806.0, 570.0, 110.0, 58.0]",0
343,61,52.0,[],4216.0,"[245.0, 539.0, 68.0, 62.0]",0
344,61,224.0,[],2244.0,"[1013.0, 350.0, 34.0, 66.0]",0
345,61,219.0,[],13516.0,"[1363.0, 671.0, 124.0, 109.0]",0
346,62,52.0,[],5005.0,"[1114.0, 621.0, 65.0, 77.0]",0
347,62,219.0,[],6820.0,"[791.0, 929.0, 110.0, 62.0]",0
348,62,219.0,[],9240.0,"[1.0, 499.0, 132.0, 70.0]",0
349,62,219.0,[],4465.0,"[267.0, 330.0, 95.0, 47.0]",0
350,62,219.0,[],15694.0,"[4.0, 935.0, 266.0, 59.0]",0
351,62,52.0,[],14994.0,"[838.0, 717.0, 119.0, 126.0]",0
352,62,160.0,[],1755.0,"[1297.0, 720.0, 45.0, 39.0]",0
353,62,1.0,[],4814.0,"[1025.0, 408.0, 83.0, 58.0]",0
354,62,52.0,[],3036.0,"[666.0, 789.0, 33.0, 92.0]",0
355,62,219.0,[],7242.0,"[171.0, 728.0, 102.0, 71.0]",0
356,62,243.0,[],2840.0,"[673.0, 736.0, 40.0, 71.0]",0
357,62,219.0,[],3696.0,"[328.0, 261.0, 66.0, 56.0]",0
358,62,219.0,[],8712.0,"[965.0, 707.0, 121.0, 72.0]",0
359,62,219.0,[],2535.0,"[848.0, 309.0, 39.0, 65.0]",0
360,62,52.0,[],2350.0,"[807.0, 194.0, 47.0, 50.0]",0
